Date,Close/Last,Volume,Open,High,Low
05/29/2024,$190.29,53068020,$189.61,$192.247,$189.51
05/28/2024,$189.99,52280050,$191.51,$193.00,$189.10
05/24/2024,$189.98,36326980,$188.82,$190.58,$188.0404
05/23/2024,$186.88,51005920,$190.98,$191.00,$186.625
05/22/2024,$190.90,34648550,$192.265,$192.8231,$190.27
05/21/2024,$192.35,42309400,$191.09,$192.73,$190.9201
05/20/2024,$191.04,44361280,$189.325,$191.9199,$189.01
05/17/2024,$189.87,41282930,$189.51,$190.81,$189.18
05/16/2024,$189.84,52845230,$190.47,$191.095,$189.6601
05/15/2024,$189.72,70399990,$187.91,$190.65,$187.37
05/14/2024,$187.43,52393620,$187.51,$188.30,$186.29
05/13/2024,$186.28,72044810,$185.435,$187.10,$184.62
05/10/2024,$183.05,50759500,$184.90,$185.09,$182.13
05/09/2024,$184.57,48982970,$182.56,$184.66,$182.11
05/08/2024,$182.74,45057090,$182.85,$183.07,$181.45
05/07/2024,$182.40,77305770,$183.45,$184.90,$181.32
05/06/2024,$181.71,78569670,$182.354,$184.20,$180.42
05/03/2024,$183.38,163224100,$186.645,$187.00,$182.66
05/02/2024,$173.03,94214920,$172.51,$173.415,$170.89
05/01/2024,$169.30,50383150,$169.58,$172.705,$169.11
04/30/2024,$170.33,65934780,$173.33,$174.99,$170.00
04/29/2024,$173.50,68169420,$173.37,$176.03,$173.10
04/26/2024,$169.30,44838350,$169.88,$171.34,$169.18
04/25/2024,$169.89,50558330,$169.525,$170.61,$168.1511
04/24/2024,$169.02,48251840,$166.54,$169.30,$166.21
04/23/2024,$166.90,49537760,$165.35,$167.05,$164.92
04/22/2024,$165.84,48116440,$165.515,$167.26,$164.77
04/19/2024,$165.00,68149380,$166.21,$166.40,$164.075
04/18/2024,$167.04,43122900,$168.03,$168.64,$166.55
04/17/2024,$168.00,50901210,$169.61,$170.65,$168.00
04/16/2024,$169.38,73711240,$171.75,$173.76,$168.27
04/15/2024,$172.69,73531770,$175.36,$176.63,$172.50
04/12/2024,$176.55,101670900,$174.26,$178.36,$174.21
04/11/2024,$175.04,91070280,$168.34,$175.46,$168.16
04/10/2024,$167.78,49709340,$168.80,$169.09,$167.11
