Date,Close/Last,Volume,Open,High,Low
05/29/2024,$474.36,9226218,$474.66,$479.85,$473.70
05/28/2024,$479.92,10175770,$476.575,$480.86,$474.84
05/24/2024,$478.22,12024250,$467.62,$479.8499,$466.30
05/23/2024,$465.78,11747910,$472.88,$474.3581,$461.54
05/22/2024,$467.78,10078610,$467.87,$473.7199,$465.65
05/21/2024,$464.63,11742190,$467.12,$470.70,$462.27
05/20/2024,$468.84,11745080,$469.95,$473.20,$467.04
05/17/2024,$471.91,10807290,$470.83,$472.80,$468.42
05/16/2024,$473.23,16608180,$475.00,$477.69,$472.75
05/15/2024,$481.54,13100470,$474.98,$482.4999,$471.20
05/14/2024,$471.85,10478550,$463.37,$472.54,$460.08
05/13/2024,$468.01,14668800,$472.75,$473.35,$462.85
05/10/2024,$476.20,10750000,$477.09,$477.50,$469.60
05/09/2024,$475.42,9437651,$470.00,$476.08,$467.63
05/08/2024,$472.60,11683930,$463.50,$475.58,$463.002
05/07/2024,$468.24,13406820,$466.29,$471.53,$461.31
05/06/2024,$465.68,15094630,$455.58,$466.16,$453.34
05/03/2024,$451.96,16489060,$445.93,$454.17,$443.85
05/02/2024,$441.68,15221320,$438.84,$443.96,$432.28
05/01/2024,$439.19,20344950,$428.60,$449.96,$427.11
04/30/2024,$430.17,18429500,$431.05,$439.6199,$429.72
04/29/2024,$432.62,21502650,$439.56,$439.76,$428.56
04/26/2024,$443.29,32691440,$441.46,$446.44,$431.96
04/25/2024,$441.38,82890740,$421.40,$445.77,$414.50
04/24/2024,$493.50,37772680,$508.06,$510.00,$484.58
04/23/2024,$496.10,15079200,$491.25,$498.76,$488.97
04/22/2024,$481.73,17271130,$489.715,$492.01,$473.40
04/19/2024,$481.07,25215360,$502.80,$502.80,$475.73
04/18/2024,$501.80,14808670,$499.82,$512.21,$499.04
04/17/2024,$494.17,12193740,$503.10,$503.16,$487.14
04/16/2024,$499.76,9847925,$498.11,$504.7699,$497.11
04/15/2024,$500.23,13512890,$516.72,$518.53,$497.28
04/12/2024,$511.90,11984540,$517.75,$520.1899,$509.33
04/11/2024,$523.16,10369470,$521.11,$523.86,$517.29
04/10/2024,$519.83,11418490,$509.29,$522.5599,$505.80
04/09/2024,$516.90,10881450,$522.23,$525.87,$506.74
04/08/2024,$519.25,13260580,$529.28,$531.4899,$518.89
04/05/2024,$527.34,19263270,$516.855,$530.70,$514.4099
04/04/2024,$510.92,26476250,$516.42,$530.00,$510.58
04/03/2024,$506.74,12099170,$498.93,$507.24,$498.75
04/02/2024,$497.37,11081030,$485.10,$497.53,$484.65
04/01/2024,$491.35,9247007,$487.20,$497.43,$481.78
03/28/2024,$485.58,15212760,$492.84,$492.89,$485.15
03/27/2024,$493.86,9989676,$499.30,$499.89,$488.07
03/26/2024,$495.89,11205380,$505.13,$510.00,$495.2137
03/25/2024,$503.02,8380617,$505.79,$507.22,$500.2411
