Date,Close/Last,Volume,Open,High,Low
05/29/2024,$1148.25,55744190,$1130.50,$1154.92,$1109.01
05/28/2024,$1139.01,65272790,$1102.44,$1149.39,$1098.83
05/24/2024,$1064.69,42949370,$1044.49,$1064.75,$1030.00
05/23/2024,$1037.99,83506530,$1020.28,$1063.20,$1015.20
05/22/2024,$949.50,54864800,$954.59,$960.20,$932.49
05/21/2024,$953.86,32894650,$935.99,$954.00,$931.80
05/20/2024,$947.80,31876450,$937.50,$952.00,$934.40
05/17/2024,$924.79,35969100,$943.69,$947.40,$918.06
05/16/2024,$943.59,32395180,$949.10,$958.1899,$941.03
05/15/2024,$946.30,41773550,$924.72,$948.62,$915.99
05/14/2024,$913.56,29650710,$895.99,$916.51,$889.34
05/13/2024,$903.99,28968020,$904.78,$909.98,$885.29
05/10/2024,$898.78,33532540,$903.045,$914.01,$892.27
05/09/2024,$887.47,37801270,$905.29,$910.72,$882.31
05/08/2024,$904.12,32572100,$894.825,$911.94,$894.20
05/07/2024,$905.54,43734160,$910.98,$917.8099,$890.11
05/06/2024,$921.40,37620260,$893.90,$922.20,$890.55
05/03/2024,$887.89,39834070,$877.89,$892.81,$870.40
05/02/2024,$858.17,37789750,$844.49,$862.37,$832.00
05/01/2024,$830.41,55986320,$850.77,$860.00,$812.5456
04/30/2024,$864.02,36370870,$872.40,$888.19,$863.00
04/29/2024,$877.57,38897080,$875.95,$879.92,$852.66
04/26/2024,$877.35,55101080,$838.18,$883.3093,$833.87
04/25/2024,$826.32,42464070,$788.6801,$833.2299,$782.23
04/24/2024,$796.77,51220750,$839.50,$840.82,$791.83
04/23/2024,$824.23,43855940,$807.69,$827.69,$802.64
04/22/2024,$795.18,59634050,$781.04,$800.73,$764.00
04/19/2024,$762.00,87519800,$831.50,$843.24,$756.06
04/18/2024,$846.71,44726030,$849.70,$861.8999,$824.02
04/17/2024,$840.35,49539950,$883.40,$887.75,$839.50
04/16/2024,$874.15,37045300,$864.325,$881.18,$860.639
04/15/2024,$860.01,44307700,$890.98,$906.13,$859.2901
04/12/2024,$881.86,42680480,$896.99,$901.7499,$875.30
04/11/2024,$906.16,43163730,$874.20,$907.3899,$869.26
04/10/2024,$870.39,43192850,$839.26,$874.00,$837.09
04/09/2024,$853.54,50354740,$874.42,$876.35,$830.22
04/08/2024,$871.33,28322000,$887.00,$888.30,$867.32
04/05/2024,$880.08,39967850,$868.66,$884.81,$859.26
04/04/2024,$859.05,43496490,$904.06,$906.3399,$858.80
04/03/2024,$889.64,37006660,$884.84,$903.74,$884.00
04/02/2024,$894.52,43306360,$884.48,$900.94,$876.20
04/01/2024,$903.63,45244150,$902.99,$922.25,$892.04
03/28/2024,$903.56,43521230,$900.00,$913.00,$891.93
03/27/2024,$902.50,58606720,$931.12,$932.40,$891.23
03/26/2024,$925.61,51364760,$958.51,$963.75,$925.02
03/25/2024,$950.02,55213610,$939.41,$967.6599,$935.10
03/22/2024,$942.89,58671940,$911.41,$947.7799,$908.3401
03/21/2024,$914.35,48037230,$923.00,$926.48,$904.05
03/20/2024,$903.72,47906280,$897.97,$904.10,$882.23
03/19/2024,$893.98,67217130,$867.00,$905.44,$850.10
03/18/2024,$884.55,66897590,$903.88,$924.05,$870.85
03/15/2024,$878.365,64208620,$869.30,$895.46,$862.57
03/14/2024,$879.44,60231820,$895.77,$906.46,$866.00
03/13/2024,$908.88,63571290,$910.55,$915.04,$884.35
03/12/2024,$919.13,66807520,$880.49,$919.60,$861.501
03/11/2024,$857.74,67836410,$864.29,$887.97,$841.66
03/08/2024,$875.28,114226900,$951.379,$974.00,$865.06
03/07/2024,$926.69,60811920,$901.58,$927.67,$896.0201
03/06/2024,$887.00,58252030,$880.22,$897.24,$870.3001
03/05/2024,$859.64,52063930,$852.70,$860.97,$834.1701
03/04/2024,$852.37,61561650,$841.30,$876.95,$837.19
03/01/2024,$822.79,47913510,$800.00,$823.00,$794.3503
02/29/2024,$791.12,50728900,$790.94,$799.90,$783.50
02/28/2024,$776.63,39311040,$776.20,$789.33,$771.25
02/27/2024,$787.01,39170520,$793.81,$794.80,$771.62
02/26/2024,$790.92,50397270,$797.00,$806.4599,$785.05
02/23/2024,$788.17,82938840,$807.90,$823.94,$775.70
02/22/2024,$785.38,86509970,$750.25,$785.75,$742.20
02/21/2024,$674.72,69029810,$680.06,$688.88,$662.48
02/20/2024,$694.52,70483310,$719.47,$719.56,$677.34
02/16/2024,$726.13,49532660,$741.00,$744.02,$725.01
02/15/2024,$726.58,42012180,$738.69,$739.75,$724.00
02/14/2024,$739.00,50491740,$732.02,$742.36,$719.38
02/13/2024,$721.28,60258020,$704.00,$734.50,$696.20
02/12/2024,$722.48,61371020,$726.00,$746.11,$712.50
02/09/2024,$721.33,43663690,$705.33,$721.85,$702.12
02/08/2024,$696.41,41442210,$700.74,$707.94,$694.55
02/07/2024,$700.99,49557460,$683.19,$702.20,$676.00
02/06/2024,$682.23,68311140,$696.30,$697.5399,$663.00
02/05/2024,$693.32,68007800,$682.25,$694.97,$672.05
02/02/2024,$661.60,47657770,$639.74,$666.00,$636.90
02/01/2024,$630.27,36914580,$621.00,$631.91,$616.50
01/31/2024,$615.27,45379490,$614.40,$622.6902,$607.00
01/30/2024,$627.74,41073530,$629.00,$634.93,$622.60
01/29/2024,$624.65,34873300,$612.32,$624.89,$609.07
01/26/2024,$610.31,39030860,$609.60,$617.83,$605.73
