Date,Close/Last,Volume,Open,High,Low
05/29/2024,$154.34,15779980,$156.75,$156.88,$153.21
05/28/2024,$159.41,13964360,$159.68,$160.38,$157.60
05/24/2024,$160.00,11908210,$157.20,$160.66,$156.71
05/23/2024,$157.09,20872970,$159.18,$160.7799,$155.865
05/22/2024,$156.15,13455200,$155.88,$157.23,$154.5401
05/21/2024,$153.67,7919449,$152.30,$153.99,$151.95
05/20/2024,$153.55,9261190,$151.67,$154.24,$150.82
05/17/2024,$151.68,7711247,$154.00,$154.00,$150.84
05/16/2024,$152.23,13394140,$154.10,$155.055,$152.21
05/15/2024,$155.58,14027090,$153.36,$156.00,$152.73
05/14/2024,$151.95,12316540,$146.49,$152.01,$146.25
05/13/2024,$146.41,8278732,$148.02,$148.44,$146.30
05/10/2024,$149.26,23671380,$147.22,$150.495,$146.93
05/09/2024,$142.79,8012668,$142.94,$143.35,$141.1301
05/08/2024,$143.60,10202350,$141.11,$144.26,$140.80
05/07/2024,$141.11,8682941,$141.87,$142.295,$140.51
05/06/2024,$142.83,8601573,$140.47,$142.83,$139.81
05/03/2024,$141.56,13264340,$138.90,$142.11,$138.76
05/02/2024,$136.23,9261896,$135.60,$136.74,$133.22
05/01/2024,$134.94,12573480,$137.42,$139.43,$133.21
04/30/2024,$137.34,10980630,$137.94,$139.70,$137.26
04/29/2024,$138.50,10025910,$138.00,$138.646,$135.91
04/26/2024,$138.30,9453393,$136.81,$138.7399,$135.945
04/25/2024,$136.58,18034260,$130.00,$137.84,$128.86
04/24/2024,$132.97,15558000,$136.09,$136.29,$131.54
04/23/2024,$133.43,12573760,$131.36,$133.71,$130.66
04/22/2024,$129.75,18556790,$126.75,$130.6606,$125.78
04/19/2024,$127.70,28284020,$129.37,$131.55,$126.64
04/18/2024,$132.27,39306150,$132.89,$135.13,$130.30
04/17/2024,$139.03,18823240,$141.13,$142.57,$137.3601
04/16/2024,$139.80,14218220,$137.89,$140.5399,$137.06
04/15/2024,$140.14,13458780,$145.02,$145.48,$139.8801
