Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
KD,"Kyndryl Holdings, Inc.",26.55,5.78,+27.83%,7.868M,1.632M,6.109B,,
ELAN,Elanco Animal Health Incorporated,16.89,3.37,+24.93%,19.349M,4.353M,8.347B,,
MYGN,"Myriad Genetics, Inc.",23.95,4.17,+21.08%,2.588M,690119,2.167B,,
LPX,Louisiana-Pacific Corporation,88.14,15.17,+20.79%,3.968M,1.055M,6.317B,35.83,
GMED,"Globus Medical, Inc.",61.73,10.37,+20.19%,6.532M,1.149M,8.337B,114.31,
ODD,Oddity Tech Ltd.,36.49,5.23,+16.73%,2.553M,1.037M,2.075B,36.49,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",30.45,4.26,+16.27%,3.1M,928540,3.497B,14.23,
PWSC,"PowerSchool Holdings, Inc.",19.15,2.51,+15.08%,8.775M,969795,3.179B,,
RNG,"RingCentral, Inc.",34.38,4.39,+14.64%,3.238M,1.177M,3.169B,,
TOST,"Toast, Inc.",26.82,3.09,+13.02%,24.685M,7.983M,14.889B,,
SMNEY,Siemens Energy AG,24.19,2.76,+12.90%,79150,32988,19.117B,,
TEVA,Teva Pharmaceutical Industries Limited,15.74,1.79,+12.83%,38.363M,9.816M,17.828B,,
CFLT,"Confluent, Inc.",31.38,3.55,+12.76%,11.852M,4.438M,9.974B,,
PAYO,Payoneer Global Inc.,5.88,0.66,+12.64%,6.516M,2.634M,2.192B,24.5,
CRUS,"Cirrus Logic, Inc.",102.24,11.11,+12.19%,1.524M,402588,5.514B,32.35,
DNLI,Denali Therapeutics Inc.,18.9,2.05,+12.17%,2.66M,1.283M,2.695B,,
BRP,"The Baldwin Insurance Group, Inc.",31.41,3.38,+12.06%,900568,370575,2.078B,,
BROS,Dutch Bros Inc.,31.77,3.35,+11.79%,9.706M,2.376M,5.6B,176.5,
LOT,Lotus Technology Inc.,8.65,0.85,+10.90%,229658,65616,5.854B,,
PUMSY,PUMA SE,5.3,0.48,+9.96%,80885,101875,8.077B,24.09,
POWI,"Power Integrations, Inc.",76.63,6.46,+9.21%,1.109M,423221,4.35B,83.29,
VST,Vistra Corp.,89.2,7.46,+9.13%,14.7M,7.542M,31.117B,24.92,
INTA,"Intapp, Inc.",36.15,3.0,+9.05%,2.288M,675424,2.653B,,
INSW,"International Seaways, Inc.",61.29,4.64,+8.19%,1.664M,552288,3.026B,5.73,
IEP,Icahn Enterprises L.P.,18.56,1.39,+8.10%,1.939M,735914,7.963B,,
