Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
SMMT,Summit Therapeutics Inc.,7.32,-1.52,-17.14%,6.284M,3.901M,5.142B,19.28,
CNM,"Core & Main, Inc.",48.26,-7.83,-13.96%,9.296M,2.044M,9.718B,22.45,
BBWI,"Bath & Body Works, Inc.",45.07,-6.74,-13.01%,8.435M,2.493M,10.081B,11.74,
JANX,"Janux Therapeutics, Inc.",48.05,-6.93,-12.62%,1.264M,790888,2.491B,,
HCC,"Warrior Met Coal, Inc.",65.56,-7.43,-10.17%,656850,759719,3.429B,7.89,
SITE,"SiteOne Landscape Supply, Inc.",136.54,-15.54,-10.22%,779110,325212,6.173B,39.35,
AMR,"Alpha Metallurgical Resources, Inc.",299.26,-30.37,-9.21%,166791,228688,3.893B,7.14,
IBN,ICICI Bank Limited,25.73,-2.59,-9.15%,7.858M,4.624M,90.459B,17.27,
HDB,HDFC Bank Limited,55.72,-5.51,-8.99%,3.74M,2.56M,141.247B,17.47,
ARCH,"Arch Resources, Inc.",163.93,-15.97,-8.88%,355581,468623,2.97B,9.55,
VIST,"Vista Energy, S.A.B. de C.V.",42.85,-3.83,-8.20%,1.063M,588674,4.235B,12.75,
VKTX,"Viking Therapeutics, Inc.",56.93,-5.34,-8.58%,9.927M,4.158M,6.278B,,
MOD,Modine Manufacturing Company,91.62,-8.21,-8.23%,1.201M,964555,4.794B,30.24,
BBAR,Banco BBVA Argentina S.A.,10.26,-0.92,-8.25%,981215,1.213M,2.577B,14.05,
JCYCF,Jardine Cycle & Carriage Limited,17.87,-1.58,-8.12%,28891,1098,7.733B,5.8,
YPF,YPF Sociedad Anónima,20.36,-1.74,-7.87%,2.948M,2.433M,10.553B,,
IVPAF,Ivanhoe Mines Ltd.,12.95,-1.1,-7.83%,155726,365525,16.446B,92.5,
OCDDY,Ocado Group plc,9.04,-0.76,-7.76%,33093,70244,3.705B,,
IESC,"IES Holdings, Inc.",135.3,-11.59,-7.89%,211064,151380,2.739B,20.38,
GGAL,Grupo Financiero Galicia S.A.,32.99,-2.61,-7.33%,1.024M,1.03M,6.126B,12.89,
CEIX,CONSOL Energy Inc.,98.2,-7.5,-7.10%,499878,494226,2.886B,5.9,
BMA,Banco Macro S.A.,60.73,-4.49,-6.88%,352790,415776,4.718B,4.21,
AX,"Axos Financial, Inc.",48.79,-3.67,-7.00%,3.746M,503801,2.779B,6.67,
PAM,Pampa Energía S.A.,44.26,-3.19,-6.73%,287719,361471,3.2B,4.91,
NIOIF,NIO Inc.,5.16,-0.37,-6.69%,180429,928,11.37B,,
