Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
MARA,"Marathon Digital Holdings, Inc.",21.08,1.5,+7.67%,53.374M,50.162M,5.961B,13.18,
TSLA,"Tesla, Inc.",177.53,1.24,+0.70%,47.681M,93.614M,566.173B,45.29,
GME,GameStop Corp.,27.39,-0.61,-2.18%,45.5M,26.368M,9.619B,1369.5,
CCL,Carnival Corporation & plc,16.9,0.89,+5.53%,38.697M,30.532M,22.132B,52.8,
AMD,"Advanced Micro Devices, Inc.",161.39,-2.16,-1.32%,34.7M,59.654M,260.856B,233.9,
NVDA,NVIDIA Corporation,1163.28,13.28,+1.15%,30.186M,49.51M,2.861T,67.95,
INTC,Intel Corporation,30.24,-0.06,-0.18%,29.383M,50.316M,128.706B,31.17,
PLTR,Palantir Technologies Inc.,22.16,0.84,+3.94%,29.392M,48.409M,49.348B,184.67,
AAPL,Apple Inc.,195.08,1.05,+0.54%,28.917M,62.065M,2.991T,30.39,
F,Ford Motor Company,12.02,-0.17,-1.44%,28.693M,48.89M,47.743B,12.39,
AAL,American Airlines Group Inc.,11.56,0.03,+0.30%,26.07M,32.96M,7.588B,16.29,
CLSK,"CleanSpark, Inc.",16.58,0.93,+5.91%,25.04M,32.498M,3.778B,127.54,
GOLD,Barrick Gold Corporation,16.54,-0.88,-5.04%,24.843M,23.209M,29.081B,20.17,
PFE,Pfizer Inc.,29.69,0.39,+1.31%,22.041M,41.345M,168.269B,,
RIG,Transocean Ltd.,5.47,-0.24,-4.12%,21.871M,17.832M,4.487B,,
RIOT,"Riot Platforms, Inc.",9.94,0.29,+3.01%,20.773M,22.442M,2.871B,23.67,
NIO,NIO Inc.,5.28,-0.07,-1.22%,20.498M,56.263M,11.232B,,
PLUG,Plug Power Inc.,3.285,-0.165,-4.78%,20.226M,33.866M,2.439B,,
SOFI,"SoFi Technologies, Inc.",6.76,-0.01,-0.07%,20.251M,48.08M,7.152B,,
NU,Nu Holdings Ltd.,11.44,-0.31,-2.68%,19.308M,23.602M,54.672B,43.98,
RIVN,"Rivian Automotive, Inc.",11.31,-0.09,-0.79%,19.154M,42.341M,11.257B,,
BBD,Banco Bradesco S.A.,2.435,-0.015,-0.61%,18.703M,15.988M,25.837B,11.07,
T,AT&T Inc.,18.3,0.28,+1.58%,18.586M,35.445M,131.178B,9.84,
VALE,Vale S.A.,11.56,-0.26,-2.20%,18.153M,27.638M,50.772B,6.39,
DELL,Dell Technologies Inc.,135.71,3.68,+2.79%,17.952M,10.451M,96.416B,27.7,
