Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
HPE,Hewlett Packard Enterprise Company,19.48,1.88,+10.68%,85.697M,15.113M,25.321B,13.43,
GME,GameStop Corp.,31.57,5.07,+19.13%,69.083M,27.15M,11.087B,1578.5,
MARA,"Marathon Digital Holdings, Inc.",21.07,0.55,+2.68%,62.54M,49.548M,5.958B,13.17,
PLUG,Plug Power Inc.,3.01,-0.21,-6.52%,57.714M,33.834M,2.235B,,
AMD,"Advanced Micro Devices, Inc.",166.17,6.18,+3.86%,59.621M,59.377M,268.582B,240.83,
TSLA,"Tesla, Inc.",175.0,0.23,+0.13%,57.673M,92.664M,558.11B,44.76,
NVDA,NVIDIA Corporation,1224.4,60.03,+5.16%,51.51M,49.314M,3.012T,71.52,
NIO,NIO Inc.,5.27,0.06,+1.15%,48.258M,55.223M,11.217B,,
AAPL,Apple Inc.,195.87,1.52,+0.78%,53.018M,61.276M,3.003T,30.46,
NVAX,"Novavax, Inc.",20.97,3.21,+18.07%,41.759M,12.826M,3.089B,,
F,Ford Motor Company,12.07,0.04,+0.33%,40.967M,48.789M,47.962B,12.44,
RIOT,"Riot Platforms, Inc.",9.65,-0.02,-0.21%,40.526M,22.32M,2.787B,22.98,
PLTR,Palantir Technologies Inc.,22.96,0.86,+3.89%,39.386M,48.28M,51.13B,191.33,
INTC,Intel Corporation,30.78,0.75,+2.50%,43.885M,50.2M,131.026B,31.73,
AAL,American Airlines Group Inc.,11.62,0.12,+1.04%,33.903M,32.884M,7.624B,16.37,
MNST,Monster Beverage Corporation,52.0,-0.19,-0.36%,34.503M,6.926M,54.508B,32.91,
SOFI,"SoFi Technologies, Inc.",6.91,0.19,+2.83%,31.709M,45.533M,7.305B,,
CLSK,"CleanSpark, Inc.",16.36,0.27,+1.68%,26.833M,32.173M,3.728B,125.85,
ABEV,Ambev S.A.,2.2,-0.01,-0.45%,25.891M,14.312M,34.65B,12.94,
CCL,Carnival Corporation & plc,16.95,0.01,+0.06%,25.52M,30.928M,22.205B,52.97,
LCID,"Lucid Group, Inc.",2.79,-0.06,-2.11%,26.456M,24.884M,6.437B,,
AMZN,"Amazon.com, Inc.",181.28,1.94,+1.08%,30.552M,39.074M,1.887T,50.78,
T,AT&T Inc.,18.3,-0.05,-0.27%,27.853M,35.23M,131.214B,9.84,
CSCO,"Cisco Systems, Inc.",46.02,-1.4,-2.95%,28.53M,19.466M,185.406B,15.55,
VALE,Vale S.A.,11.41,-0.13,-1.13%,24.317M,27.597M,49.845B,6.3,
