Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
MLGO,MicroAlgo Inc.,10.45,2:51PM EDT,8.89,+580.04%,167.364M,79.563M,,,
VKTX,"Viking Therapeutics, Inc.",56.86,2:51PM EDT,-5.41,-8.69%,9.939M,6.27B,,,
CORZ,"Core Scientific, Inc.",6.93,2:50PM EDT,2.07,+42.40%,60.047M,1.233B,,,
CCL,Carnival Corporation & plc,16.9,2:51PM EDT,0.89,+5.56%,38.904M,22.139B,,,
BTC-USD,Bitcoin USD,70859.38,6:48PM UTC,1488.9,+2.15%,31.87B,1.396T,,,
PLTR,Palantir Technologies Inc.,22.18,2:51PM EDT,0.86,+4.06%,29.501M,49.404B,,,
COIN,"Coinbase Global, Inc.",246.79,2:51PM EDT,15.4,+6.66%,8.256M,60.604B,,,
INTC,Intel Corporation,30.25,2:51PM EDT,-0.05,-0.15%,29.417M,128.749B,,,
WIMI,WiMi Hologram Cloud Inc.,1.06,2:51PM EDT,0.2,+23.26%,55.608M,104.1M,,,
LPA,"Latam Logistic Properties, S.A.",196.96,2:14PM EDT,58.47,+42.22%,35155,6.246B,,,
SOBR,"SOBR Safe, Inc.",0.4773,2:51PM EDT,0.2138,+81.35%,254.494M,9.544M,,,
HOLO,MicroCloud Hologram Inc.,1.835,2:51PM EDT,0.335,+22.33%,35.311M,10.902M,,,
ANNX,"Annexon, Inc.",6.05,2:51PM EDT,1.47,+32.10%,43.921M,559.098M,,,
VSTE,Vast Renewables Limited,4.72,2:51PM EDT,2.03,+75.46%,9.266M,141.475M,,,
MARA,"Marathon Digital Holdings, Inc.",21.16,2:51PM EDT,1.58,+8.07%,53.456M,5.984B,,,
DBX,"Dropbox, Inc.",21.75,2:51PM EDT,-0.52,-2.31%,2.966M,6.994B,,,
WULF,TeraWulf Inc.,2.535,2:51PM EDT,0.485,+23.66%,36.787M,846.634M,,,
TELL,Tellurian Inc.,0.57,2:51PM EDT,0.079,+16.09%,68.176M,476.649M,,,
FCX,Freeport-McMoRan Inc.,49.26,2:51PM EDT,-2.78,-5.34%,17.353M,70.761B,,,
CNM,"Core & Main, Inc.",48.21,2:51PM EDT,-7.88,-14.06%,9.35M,9.707B,,,
CRWD,"CrowdStrike Holdings, Inc.",306.77,2:51PM EDT,-1.92,-0.62%,3.669M,74.6B,,,
O,Realty Income Corporation,54.6,2:51PM EDT,1.29,+2.43%,2.848M,47.549B,,,
PLC.TO,Park Lawn Corporation,25.94,2:50PM EDT,9.59,+58.70%,4.097M,886.593M,,,
AX,"Axos Financial, Inc.",48.79,2:49PM EDT,-3.67,-7.00%,3.746M,2.779B,,,
KDP,Keurig Dr Pepper Inc.,34.81,2:51PM EDT,0.44,+1.27%,5.06M,47.181B,,,
BBWI,"Bath & Body Works, Inc.",45.07,2:51PM EDT,-6.74,-13.01%,8.441M,10.081B,,,
IREN,Iris Energy Limited,9.32,2:51PM EDT,1.32,+16.51%,19.149M,1.366B,,,
CSCO,"Cisco Systems, Inc.",47.59,2:51PM EDT,0.94,+2.01%,11.328M,191.719B,,,
KO,The Coca-Cola Company,63.81,2:51PM EDT,0.88,+1.39%,5.896M,274.869B,,,
MELI,"MercadoLibre, Inc.",1641.38,2:48PM EDT,-51.77,-3.06%,271564,83.213B,,,
